Human Development Index (value) (1990),0.446
Human Development Index (value) (1991),0.448
Human Development Index (value) (1992),0.453
Human Development Index (value) (1993),0.458
Human Development Index (value) (1994),0.463
Human Development Index (value) (1995),0.469
Human Development Index (value) (1996),0.476
Human Development Index (value) (1997),0.482
Human Development Index (value) (1998),0.488
Human Development Index (value) (1999),0.496
Human Development Index (value) (2000),0.501
Human Development Index (value) (2001),0.511
Human Development Index (value) (2002),0.516
Human Development Index (value) (2003),0.529
Human Development Index (value) (2004),0.538
Human Development Index (value) (2005),0.547
Human Development Index (value) (2006),0.557
Human Development Index (value) (2007),0.566
Human Development Index (value) (2008),0.574
Human Development Index (value) (2009),0.579
Human Development Index (value) (2010),0.59
Human Development Index (value) (2011),0.603
Human Development Index (value) (2012),0.609
Human Development Index (value) (2013),0.615
Human Development Index (value) (2014),0.625
Human Development Index (value) (2015),0.633
Human Development Index (value) (2016),0.644
Human Development Index (value) (2017),0.649
Human Development Index (value) (2018),0.648
Human Development Index (value) (2019),0.651
Human Development Index (value) (2020),0.652
Human Development Index (value) (2021),0.647
Human Development Index (value) (2022),0.676
Human Development Index (value) (2023),0.685
Life Expectancy at Birth (years) (1990),58.618
Life Expectancy at Birth (years) (1991),59.032
Life Expectancy at Birth (years) (1992),59.445
Life Expectancy at Birth (years) (1993),59.823
Life Expectancy at Birth (years) (1994),60.237
Life Expectancy at Birth (years) (1995),60.63
Life Expectancy at Birth (years) (1996),61.027
Life Expectancy at Birth (years) (1997),61.439
Life Expectancy at Birth (years) (1998),61.852
Life Expectancy at Birth (years) (1999),62.284
Life Expectancy at Birth (years) (2000),62.749
Life Expectancy at Birth (years) (2001),63.158
Life Expectancy at Birth (years) (2002),63.649
Life Expectancy at Birth (years) (2003),64.086
Life Expectancy at Birth (years) (2004),64.484
Life Expectancy at Birth (years) (2005),64.939
Life Expectancy at Birth (years) (2006),65.373
Life Expectancy at Birth (years) (2007),65.803
Life Expectancy at Birth (years) (2008),66.247
Life Expectancy at Birth (years) (2009),66.7
Life Expectancy at Birth (years) (2010),67.162
Life Expectancy at Birth (years) (2011),67.623
Life Expectancy at Birth (years) (2012),68.076
Life Expectancy at Birth (years) (2013),68.499
Life Expectancy at Birth (years) (2014),68.932
Life Expectancy at Birth (years) (2015),69.326
Life Expectancy at Birth (years) (2016),69.709
Life Expectancy at Birth (years) (2017),70.068
Life Expectancy at Birth (years) (2018),70.415
Life Expectancy at Birth (years) (2019),70.746
Life Expectancy at Birth (years) (2020),70.156
Life Expectancy at Birth (years) (2021),67.282
Life Expectancy at Birth (years) (2022),71.698
Life Expectancy at Birth (years) (2023),72.003
Expected Years of Schooling (years) (1990),8.20444394
Expected Years of Schooling (years) (1991),8.216523603
Expected Years of Schooling (years) (1992),8.228621051
Expected Years of Schooling (years) (1993),8.240736311
Expected Years of Schooling (years) (1994),8.252869409
Expected Years of Schooling (years) (1995),8.26502037
Expected Years of Schooling (years) (1996),8.266550064
Expected Years of Schooling (years) (1997),8.289759636
Expected Years of Schooling (years) (1998),8.301849683
Expected Years of Schooling (years) (1999),8.31393973
Expected Years of Schooling (years) (2000),8.326029778
Expected Years of Schooling (years) (2001),8.807609558
Expected Years of Schooling (years) (2002),8.872280121
Expected Years of Schooling (years) (2003),9.489009857
Expected Years of Schooling (years) (2004),9.759057283
Expected Years of Schooling (years) (2005),10.02910471
Expected Years of Schooling (years) (2006),10.29915214
Expected Years of Schooling (years) (2007),10.56919956
Expected Years of Schooling (years) (2008),10.86855984
Expected Years of Schooling (years) (2009),10.78787994
Expected Years of Schooling (years) (2010),11.10916996
Expected Years of Schooling (years) (2011),11.69287014
Expected Years of Schooling (years) (2012),11.76546955
Expected Years of Schooling (years) (2013),11.80904961
Expected Years of Schooling (years) (2014),12.16592026
Expected Years of Schooling (years) (2015),12.26624012
Expected Years of Schooling (years) (2016),12.67975998
Expected Years of Schooling (years) (2017),12.50761032
Expected Years of Schooling (years) (2018),11.81653976
Expected Years of Schooling (years) (2019),11.75397968
Expected Years of Schooling (years) (2020),12.1291399
Expected Years of Schooling (years) (2021),12.40237045
Expected Years of Schooling (years) (2022),12.95646
Expected Years of Schooling (years) (2023),12.95454025
Mean Years of Schooling (years) (1990),2.780574365
Mean Years of Schooling (years) (1991),2.88390652
Mean Years of Schooling (years) (1992),2.987238675
Mean Years of Schooling (years) (1993),3.090570831
Mean Years of Schooling (years) (1994),3.193902986
Mean Years of Schooling (years) (1995),3.297235142
Mean Years of Schooling (years) (1996),3.466324123
Mean Years of Schooling (years) (1997),3.635413105
Mean Years of Schooling (years) (1998),3.804502087
Mean Years of Schooling (years) (1999),3.973591068
Mean Years of Schooling (years) (2000),4.14268005
Mean Years of Schooling (years) (2001),4.219709475
Mean Years of Schooling (years) (2002),4.2967389
Mean Years of Schooling (years) (2003),4.373768325
Mean Years of Schooling (years) (2004),4.45079775
Mean Years of Schooling (years) (2005),4.527827175
Mean Years of Schooling (years) (2006),4.634916863
Mean Years of Schooling (years) (2007),4.742006551
Mean Years of Schooling (years) (2008),4.84909624
Mean Years of Schooling (years) (2009),4.956185928
Mean Years of Schooling (years) (2010),5.063275616
Mean Years of Schooling (years) (2011),5.300000191
Mean Years of Schooling (years) (2012),5.397578144
Mean Years of Schooling (years) (2013),5.495156097
Mean Years of Schooling (years) (2014),5.592734051
Mean Years of Schooling (years) (2015),5.690312004
Mean Years of Schooling (years) (2016),5.787889957
Mean Years of Schooling (years) (2017),6.013944864
Mean Years of Schooling (years) (2018),6.239999771
Mean Years of Schooling (years) (2019),6.281380177
Mean Years of Schooling (years) (2020),6.489999771
Mean Years of Schooling (years) (2021),6.529999971
Mean Years of Schooling (years) (2022),6.570000172
Mean Years of Schooling (years) (2023),6.880000114
Gross National Income Per Capita (2021 PPP$) (1990),2167.222109
Gross National Income Per Capita (2021 PPP$) (1991),2143.711946
Gross National Income Per Capita (2021 PPP$) (1992),2215.913758
Gross National Income Per Capita (2021 PPP$) (1993),2277.498432
Gross National Income Per Capita (2021 PPP$) (1994),2381.704988
Gross National Income Per Capita (2021 PPP$) (1995),2511.581876
Gross National Income Per Capita (2021 PPP$) (1996),2651.649036
Gross National Income Per Capita (2021 PPP$) (1997),2711.415799
Gross National Income Per Capita (2021 PPP$) (1998),2825.255524
Gross National Income Per Capita (2021 PPP$) (1999),3018.348782
Gross National Income Per Capita (2021 PPP$) (2000),3069.545308
Gross National Income Per Capita (2021 PPP$) (2001),3164.162422
Gross National Income Per Capita (2021 PPP$) (2002),3230.410192
Gross National Income Per Capita (2021 PPP$) (2003),3424.492756
Gross National Income Per Capita (2021 PPP$) (2004),3634.455914
Gross National Income Per Capita (2021 PPP$) (2005),3859.176262
Gross National Income Per Capita (2021 PPP$) (2006),4104.613146
Gross National Income Per Capita (2021 PPP$) (2007),4370.339973
Gross National Income Per Capita (2021 PPP$) (2008),4434.020468
Gross National Income Per Capita (2021 PPP$) (2009),4716.353012
Gross National Income Per Capita (2021 PPP$) (2010),5022.132083
Gross National Income Per Capita (2021 PPP$) (2011),5224.30683
Gross National Income Per Capita (2021 PPP$) (2012),5420.181423
Gross National Income Per Capita (2021 PPP$) (2013),5687.828662
Gross National Income Per Capita (2021 PPP$) (2014),6037.901703
Gross National Income Per Capita (2021 PPP$) (2015),6443.561001
Gross National Income Per Capita (2021 PPP$) (2016),6894.228147
Gross National Income Per Capita (2021 PPP$) (2017),7282.890554
Gross National Income Per Capita (2021 PPP$) (2018),7670.645786
Gross National Income Per Capita (2021 PPP$) (2019),7895.441397
Gross National Income Per Capita (2021 PPP$) (2020),7331.951385
Gross National Income Per Capita (2021 PPP$) (2021),7992.775136
Gross National Income Per Capita (2021 PPP$) (2022),8475.67988
Gross National Income Per Capita (2021 PPP$) (2023),9046.756336
